Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"June 6, 2022","June 6, 2022",Run,476,4.05315,2516,10.3459,7.36229,5.79942,8.14964,,7379,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6627871579
"May 22, 2022","May 22, 2022",Run,590,5.00255,3139,10.458,5.92569,5.73723,10.1254,,16224,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6595493122
"May 9, 2022","May 9, 2022",Run,475,4.00298,2555,10.6379,7.15291,5.64021,8.38819,,7204,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6565580131
"April 26, 2022","April 26, 2022",Run,356,3.08359,1834,9.91269,6.38248,6.05285,9.40074,,5086,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6537659413
"April 14, 2022","April 14, 2022",Run,476,4.00436,2557,10.6426,7.93863,5.63774,7.55798,,7063,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6512423014
"March 26, 2022","March 26, 2022",Run,355,3.00445,1893,10.5011,7.23611,5.71369,8.29175,,5283,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6474142096
"Jan. 23, 2022","Jan. 23, 2022",Run,1548,13.1,8254,10.5013,6.26374,5.71359,9.57894,,24482,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6350844922
"Jan. 17, 2022","Jan. 17, 2022",Run,229,2.00495,1161,9.65113,7.26531,6.21689,8.25842,,3139,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6339397573
"Jan. 9, 2022","Jan. 9, 2022",Run,693,6.00385,3567,9.90198,5.32987,6.05939,11.2573,,10045,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6323425744
"Dec. 30, 2021","Dec. 30, 2021",Run,712,5.99714,3822,10.6217,5.13022,5.6488,11.6954,,10379,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6305046922
"Dec. 17, 2021","Dec. 17, 2021",Run,470,4.00776,2478,10.305,3.95455,5.82241,15.1724,,6650,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6286276849
"Dec. 14, 2021","Dec. 14, 2021",Run,594,5.00937,3186,10.6001,6.74466,5.66031,8.89592,,8524,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6281506462
"Nov. 21, 2021","Nov. 21, 2021",Run,715,6.00826,3853,10.6881,5.98406,5.61374,10.0266,,10300,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6243384115
"Nov. 17, 2021","Nov. 17, 2021",Run,472,4.00347,2513,10.4618,6.77281,5.73518,8.85895,,6733,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6236327227
"Nov. 10, 2021","Nov. 10, 2021",Run,596,5.00422,3213,10.701,7.32941,5.60697,8.1862,,8588,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6222793465
"Nov. 8, 2021","Nov. 8, 2021",Run,348,3.00682,1793,9.93852,6.91404,6.03712,8.67799,,4903,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6217682257
"Oct. 20, 2021","Oct. 20, 2021",Run,464,4.01,2400,9.97506,5.08522,6.015,11.7989,,6464,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6179878390
"Oct. 9, 2021","Oct. 9, 2021",Run,712,6.00175,3827,10.6275,6.69635,5.64575,8.9601,,10236,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6155857858
"Oct. 3, 2021","Oct. 3, 2021",Run,348,3.00944,1791,9.91879,6.73157,6.04913,8.91322,,4970,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6141932407
"Sept. 29, 2021","Sept. 29, 2021",Run,593,5.0077,3178,10.577,7.72315,5.67266,7.76885,,8505,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6132748441
"Sept. 22, 2021","Sept. 22, 2021",Run,410,3.50694,2155,10.2416,6.5036,5.85846,9.22566,,5940,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6115194118
"Sept. 8, 2021","Sept. 8, 2021",Run,533,4.50728,2853,10.5496,6.92428,5.68742,8.66516,,7637,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6078376792
"Sept. 4, 2021","Sept. 4, 2021",Run,350,3.25153,2644,13.5526,7.54094,4.42719,7.95657,,6910,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6068116027
"Sept. 1, 2021","Sept. 1, 2021",Run,133,1.50289,1383,15.3371,9.36076,3.91208,6.40974,,3579,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6059755435
"Aug. 26, 2021","Aug. 26, 2021",Run,350,3.00473,1832,10.1618,6.81652,5.90449,8.80215,,4924,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6045431245
"Aug. 22, 2021","Aug. 22, 2021",Run,481,4.02128,2609,10.8133,7.09877,5.54873,8.45217,,6966,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6033950293
"Aug. 18, 2021","Aug. 18, 2021",Run,600,5.00691,3267,10.875,7.18887,5.51726,8.34623,,8717,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6024708961
"Aug. 14, 2021","Aug. 14, 2021",Run,237,2.00596,1265,10.5104,8.01561,5.70866,7.4854,,3388,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6013256959
"July 19, 2021","July 19, 2021",Run,591,5.02043,3136,10.4108,6.86623,5.76325,8.73842,,8507,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5943883351
"July 17, 2021","July 17, 2021",Run,324,2.83999,2157,12.6585,6.63369,4.7399,9.04474,,5671,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5939207158
